"Symbol","Description","Universe","Sector","Industry","Sub-Industry","Morningstar Rating"
"TEAM","Atlassian Corporation PLC","Domestic","Information Technology","Software","Application Software","3 stars"
"TECK","Teck Resources Ltd","International (ADR)","Materials","Metals & Mining","Diversified Metals & Mining","4 stars"
"TEF","Telefonica SA","International (ADR)","Communication Services","Diversified Telecommunication Services","Integrated Telecommunication Services","5 stars"
"TEL","TE Connectivity Ltd","Domestic","Information Technology","Electronic Equipment, Instruments & Components","Electronic Manufacturing Services","4 stars"
"TELNY","Telenor ASA","International (ADR)","Communication Services","Diversified Telecommunication Services","Integrated Telecommunication Services","3 stars"
"TEN","Tenneco Inc","Domestic","Consumer Discretionary","Auto Components","Auto Parts & Equipment","5 stars"
"TEVA","Teva Pharmaceutical Industries Ltd","International (ADR)","Health Care","Pharmaceuticals","Pharmaceuticals","5 stars"
"TEX","Terex Corp","Domestic","Industrials","Machinery","Construction Machinery & Heavy Trucks","5 stars"
"TFC","Truist Financial Corp","Domestic","Financials","Banks","Regional Banks","5 stars"
"TGE","Tallgrass Energy LP","Domestic","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Storage & Transportation","4 stars"
"TGT","Target Corp","Domestic","Consumer Discretionary","Multiline Retail","General Merchandise Stores","3 stars"
"THC","Tenet Healthcare Corp","Domestic","Health Care","Health Care Providers & Services","Health Care Facilities","4 stars"
"TIF","Tiffany & Co","Domestic","Consumer Discretionary","Specialty Retail","Specialty Stores","3 stars"
"TIGO","Millicom International Cellular SA","International (ADR)","Communication Services","Wireless Telecommunication Services","Wireless Telecommunication Services","5 stars"
"TIIAY","Telecom Italia SpA","International (ADR)","Communication Services","Diversified Telecommunication Services","Integrated Telecommunication Services","4 stars"
"TJX","TJX Companies Inc","Domestic","Consumer Discretionary","Specialty Retail","Apparel Retail","2 stars"
"TLRY","Tilray Inc","International (ADR)","Health Care","Pharmaceuticals","Pharmaceuticals","4 stars"
"TM","Toyota Motor Corp","International (ADR)","Consumer Discretionary","Automobiles","Automobile Manufacturers","3 stars"
"TMO","Thermo Fisher Scientific Inc","Domestic","Health Care","Life Sciences Tools & Services","Life Sciences Tools & Services","2 stars"
"TMUS","T-Mobile US Inc","Domestic","Communication Services","Wireless Telecommunication Services","Wireless Telecommunication Services","2 stars"
"TOL","Toll Brothers Inc","Domestic","Consumer Discretionary","Household Durables","Homebuilding","4 stars"
"TOT","Total SA","International (ADR)","Energy","Oil, Gas & Consumable Fuels","Integrated Oil & Gas","5 stars"
"TPR","Tapestry Inc","Domestic","Consumer Discretionary","Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods","5 stars"
"TRGP","Targa Resources Corp","Domestic","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Storage & Transportation","5 stars"
"TRI","Thomson Reuters Corp","International (ADR)","Industrials","Professional Services","Research & Consulting Services","2 stars"
"TRIP","TripAdvisor Inc","Domestic","Communication Services","Interactive Media & Services","Interactive Media & Services","5 stars"
"TROW","T. Rowe Price Group Inc","Domestic","Financials","Capital Markets","Asset Management & Custody Banks","4 stars"
"TRU","TransUnion","Domestic","Industrials","Professional Services","Research & Consulting Services","2 stars"
"TRV","Travelers Companies Inc","Domestic","Financials","Insurance","Property & Casualty Insurance","3 stars"
"TS","Tenaris SA","International (ADR)","Energy","Energy Equipment & Services","Oil & Gas Equipment & Services","5 stars"
"TSCO","Tractor Supply Co","Domestic","Consumer Discretionary","Specialty Retail","Specialty Stores","4 stars"
"TSLA","Tesla Inc","Domestic","Consumer Discretionary","Automobiles","Automobile Manufacturers","2 stars"
"TSM","Taiwan Semiconductor Manufacturing Co Ltd","International (ADR)","Information Technology","Semiconductors & Semiconductor Equipment","Semiconductors","2 stars"
"TSN","Tyson Foods Inc","Domestic","Consumer Staples","Food Products","Packaged Foods & Meats","4 stars"
"TSU","TIM Participacoes SA","International (ADR)","Communication Services","Wireless Telecommunication Services","Wireless Telecommunication Services","3 stars"
"TT","Trane Technologies PLC","Domestic","Industrials","Building Products","Building Products","3 stars"
"TTM","Tata Motors Ltd","International (ADR)","Consumer Discretionary","Automobiles","Automobile Manufacturers","5 stars"
"TTWO","Take-Two Interactive Software Inc","Domestic","Communication Services","Entertainment","Interactive Home Entertainment","3 stars"
"TU","Telus Corp","International (ADR)","Communication Services","Diversified Telecommunication Services","Integrated Telecommunication Services","3 stars"
"TV","Grupo Televisa SAB","International (ADR)","Communication Services","Media","Cable & Satellite","5 stars"
"TWLO","Twilio Inc","Domestic","Information Technology","IT Services","Internet Services & Infrastructure","4 stars"
"TWNK","Hostess Brands Inc","Domestic","Consumer Staples","Food Products","Packaged Foods & Meats","4 stars"
"TWTR","Twitter Inc","Domestic","Communication Services","Interactive Media & Services","Interactive Media & Services","3 stars"
"TXN","Texas Instruments Inc","Domestic","Information Technology","Semiconductors & Semiconductor Equipment","Semiconductors","3 stars"
"TYL","Tyler Technologies Inc","Domestic","Information Technology","Software","Application Software","3 stars"
"UA","Under Armour Inc","Domestic","Consumer Discretionary","Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods","4 stars"
"UAA","Under Armour Inc","Domestic","Consumer Discretionary","Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods","4 stars"
"UAL","United Airlines Holdings Inc","Domestic","Industrials","Airlines","Airlines","4 stars"
"UBER","Uber Technologies Inc","Domestic","Industrials","Road & Rail","Trucking","4 stars"
"UBS","UBS Group AG","International (ADR)","Financials","Capital Markets","Diversified Capital Markets","4 stars"
"UL","Unilever PLC","International (ADR)","Consumer Staples","Personal Products","Personal Products","3 stars"
"ULTA","Ulta Beauty Inc","Domestic","Consumer Discretionary","Specialty Retail","Specialty Stores","3 stars"
"UN","Unilever NV","International (ADR)","Consumer Staples","Personal Products","Personal Products","3 stars"
"UNH","UnitedHealth Group Inc","Domestic","Health Care","Health Care Providers & Services","Managed Health Care","3 stars"
"UNIT","Uniti Group Inc","Domestic","Real Estate","Equity Real Estate Investment Trusts (REITs)","Specialized REITs","4 stars"
"UNP","Union Pacific Corp","Domestic","Industrials","Road & Rail","Railroads","4 stars"
"UPS","United Parcel Service Inc","Domestic","Industrials","Air Freight & Logistics","Air Freight & Logistics","4 stars"
"URBN","Urban Outfitters Inc","Domestic","Consumer Discretionary","Specialty Retail","Apparel Retail","5 stars"
"URI","United Rentals Inc","Domestic","Industrials","Trading Companies & Distributors","Trading Companies & Distributors","5 stars"
"USB","U.S. Bancorp","Domestic","Financials","Banks","Diversified Banks","4 stars"
"USCR","US Concrete Inc","Domestic","Materials","Construction Materials","Construction Materials","5 stars"
"USFD","US Foods Holding Corp","Domestic","Consumer Staples","Food & Staples Retailing","Food Distributors","4 stars"
"UTHR","United Therapeutics Corp","Domestic","Health Care","Biotechnology","Biotechnology","3 stars"
"UTX","United Technologies Corp","Domestic","Industrials","Aerospace & Defense","Aerospace & Defense","4 stars"
"V","Visa Inc","Domestic","Information Technology","IT Services","Data Processing & Outsourced Services","3 stars"
"VAL","Valaris PLC","International (ADR)","Energy","Energy Equipment & Services","Oil & Gas Drilling","5 stars"
"VALE","Vale SA","International (ADR)","Materials","Metals & Mining","Steel","3 stars"
"VAR","Varian Medical Systems Inc","Domestic","Health Care","Health Care Equipment & Supplies","Health Care Equipment","3 stars"
"VEEV","Veeva Systems Inc","Domestic","Health Care","Health Care Technology","Health Care Technology","4 stars"
"VFC","VF Corp","Domestic","Consumer Discretionary","Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods","3 stars"
"VIAC","ViacomCBS Inc","Domestic","Communication Services","Media","Broadcasting","5 stars"
"VIV","Telefonica Brasil SA","International (ADR)","Communication Services","Diversified Telecommunication Services","Integrated Telecommunication Services","3 stars"
"VIVHY","Vivendi SA","International (ADR)","Communication Services","Entertainment","Movies & Entertainment","3 stars"
"VLO","Valero Energy Corp","Domestic","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Refining & Marketing","5 stars"
"VMC","Vulcan Materials Co","Domestic","Materials","Construction Materials","Construction Materials","3 stars"
"VMW","VMware Inc","Domestic","Information Technology","Software","Systems Software","5 stars"
"VNE","Veoneer Inc","International (ADR)","Consumer Discretionary","Auto Components","Auto Parts & Equipment","5 stars"
"VNO","Vornado Realty Trust","Domestic","Real Estate","Equity Real Estate Investment Trusts (REITs)","Office REITs","5 stars"
"VOD","Vodafone Group PLC","International (ADR)","Communication Services","Wireless Telecommunication Services","Wireless Telecommunication Services","4 stars"
"VRNT","Verint Systems Inc","Domestic","Information Technology","Software","Application Software","3 stars"
"VRSN","Verisign Inc","Domestic","Information Technology","IT Services","Internet Services & Infrastructure","2 stars"
"VRTX","Vertex Pharmaceuticals Inc","Domestic","Health Care","Biotechnology","Biotechnology","2 stars"
"VST","Vistra Energy Corp","Domestic","Utilities","Independent Power & Renewable Electricity Producers","Independent Power Producers & Energy Traders","3 stars"
"VTR","Ventas Inc","Domestic","Real Estate","Equity Real Estate Investment Trusts (REITs)","Health Care REITs","4 stars"
"VVV","Valvoline Inc","Domestic","Materials","Chemicals","Commodity Chemicals","4 stars"
"VWAGY","Volkswagen AG","International (ADR)","Consumer Discretionary","Automobiles","Automobile Manufacturers","5 stars"
"VWAPY","Volkswagen AG","International (ADR)","Consumer Discretionary","Automobiles","Automobile Manufacturers","5 stars"
"VZ","Verizon Communications Inc","Domestic","Communication Services","Diversified Telecommunication Services","Integrated Telecommunication Services","3 stars"
"W","Wayfair Inc","Domestic","Consumer Discretionary","Internet & Direct Marketing Retail","Internet & Direct Marketing Retail","4 stars"
"WAT","Waters Corp","Domestic","Health Care","Life Sciences Tools & Services","Life Sciences Tools & Services","3 stars"
"WB","Weibo Corp","International (ADR)","Communication Services","Interactive Media & Services","Interactive Media & Services","3 stars"
"WBA","Walgreens Boots Alliance Inc","Domestic","Consumer Staples","Food & Staples Retailing","Drug Retail","4 stars"
"WBK","Westpac Banking Corp","International (ADR)","Financials","Banks","Diversified Banks","4 stars"
"WCC","Wesco International Inc","Domestic","Industrials","Trading Companies & Distributors","Trading Companies & Distributors","5 stars"
"WCN","Waste Connections Inc","International (ADR)","Industrials","Commercial Services & Supplies","Environmental & Facilities Services","1 star"
"WDAY","Workday Inc","Domestic","Information Technology","Software","Application Software","4 stars"
"WDC","Western Digital Corp","Domestic","Information Technology","Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals","4 stars"
"WDR","Waddell & Reed Financial Inc","Domestic","Financials","Capital Markets","Asset Management & Custody Banks","3 stars"
"WEC","WEC Energy Group Inc","Domestic","Utilities","Multi-Utilities","Multi-Utilities","1 star"
"WELL","Welltower Inc","Domestic","Real Estate","Equity Real Estate Investment Trusts (REITs)","Health Care REITs","4 stars"
"WERN","Werner Enterprises Inc","Domestic","Industrials","Road & Rail","Trucking","3 stars"
"WFC","Wells Fargo & Co","Domestic","Financials","Banks","Diversified Banks","5 stars"
"WGO","Winnebago Industries Inc","Domestic","Consumer Discretionary","Automobiles","Automobile Manufacturers","3 stars"
"WH","Wyndham Hotels & Resorts Inc","Domestic","Consumer Discretionary","Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines","5 stars"
"WIT","Wipro Ltd","International (ADR)","Information Technology","IT Services","IT Consulting & Other Services","3 stars"
"WK","Workiva Inc","Domestic","Information Technology","Software","Application Software","3 stars"
"WLTW","Willis Towers Watson PLC","International (ADR)","Financials","Insurance","Insurance Brokers","4 stars"
"WM","Waste Management Inc","Domestic","Industrials","Commercial Services & Supplies","Environmental & Facilities Services","1 star"
"WMT","Walmart Inc","Domestic","Consumer Staples","Food & Staples Retailing","Hypermarkets & Super Centers","3 stars"
"WORK","Slack Technologies Inc","Domestic","Information Technology","Software","Application Software","2 stars"
"WPP","WPP PLC","International (ADR)","Communication Services","Media","Advertising","5 stars"
"WPX","WPX Energy Inc","Domestic","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Exploration & Production","4 stars"
"WRB","W. R. Berkley Corp","Domestic","Financials","Insurance","Property & Casualty Insurance","3 stars"
"WRK","Westrock Co","Domestic","Materials","Containers & Packaging","Paper Packaging","5 stars"
"WSM","Williams-Sonoma Inc","Domestic","Consumer Discretionary","Specialty Retail","Homefurnishing Retail","4 stars"
"WU","Western Union Co","Domestic","Information Technology","IT Services","Data Processing & Outsourced Services","3 stars"
"WW","WW International Inc","Domestic","Consumer Discretionary","Diversified Consumer Services","Specialized Consumer Services","4 stars"
"WY","Weyerhaeuser Co","Domestic","Real Estate","Equity Real Estate Investment Trusts (REITs)","Specialized REITs","2 stars"
"WYNN","Wynn Resorts Ltd","Domestic","Consumer Discretionary","Hotels, Restaurants & Leisure","Casinos & Gaming","5 stars"
"X","United States Steel Corp","Domestic","Materials","Metals & Mining","Steel","4 stars"
"XEL","Xcel Energy Inc","Domestic","Utilities","Electric Utilities","Electric Utilities","1 star"
"XLNX","Xilinx Inc","Domestic","Information Technology","Semiconductors & Semiconductor Equipment","Semiconductors","4 stars"
"XOM","Exxon Mobil Corp","Domestic","Energy","Oil, Gas & Consumable Fuels","Integrated Oil & Gas","5 stars"
"XPO","XPO Logistics Inc","Domestic","Industrials","Air Freight & Logistics","Air Freight & Logistics","3 stars"
"XRAY","Dentsply Sirona Inc","Domestic","Health Care","Health Care Equipment & Supplies","Health Care Supplies","3 stars"
"XRX","Xerox Holdings Corp","Domestic","Information Technology","Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals","3 stars"
"XYL","Xylem Inc","Domestic","Industrials","Machinery","Industrial Machinery","3 stars"
"YUM","Yum! Brands Inc","Domestic","Consumer Discretionary","Hotels, Restaurants & Leisure","Restaurants","4 stars"
"YUMC","Yum China Holdings Inc","Domestic","Consumer Discretionary","Hotels, Restaurants & Leisure","Restaurants","4 stars"
"ZBH","Zimmer Biomet Holdings Inc","Domestic","Health Care","Health Care Equipment & Supplies","Health Care Equipment","5 stars"
"ZBRA","Zebra Technologies Corp","Domestic","Information Technology","Electronic Equipment, Instruments & Components","Electronic Equipment & Instruments","4 stars"
"ZEN","Zendesk Inc","Domestic","Information Technology","Software","Application Software","4 stars"
"ZG","Zillow Group Inc","Domestic","Communication Services","Interactive Media & Services","Interactive Media & Services","3 stars"
"ZION","Zions Bancorporation NA","Domestic","Financials","Banks","Regional Banks","5 stars"
"ZM","Zoom Video Communications Inc","Domestic","Information Technology","Software","Application Software","1 star"
"ZS","Zscaler Inc","Domestic","Information Technology","Software","Systems Software","4 stars"
"ZTS","Zoetis Inc","Domestic","Health Care","Pharmaceuticals","Pharmaceuticals","2 stars"
"ZURVY","Zurich Insurance Group AG","International (ADR)","Financials","Insurance","Multi-line Insurance","3 stars"
