"Symbol","Description","Universe","Sector","Industry","Sub-Industry","Morningstar Rating"
"CAJ","Canon Inc","International (ADR)","Information Technology","Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals","4 stars"
"CAT","Caterpillar Inc","Domestic","Industrials","Machinery","Construction Machinery & Heavy Trucks","4 stars"
"CB","Chubb Ltd","Domestic","Financials","Insurance","Property & Casualty Insurance","3 stars"
"CBRE","CBRE Group Inc","Domestic","Real Estate","Real Estate Management & Development","Real Estate Services","4 stars"
"CCI","Crown Castle International Corp","Domestic","Real Estate","Equity Real Estate Investment Trusts (REITs)","Specialized REITs","1 star"
"CCJ","Cameco Corp","International (ADR)","Energy","Oil, Gas & Consumable Fuels","Coal & Consumable Fuels","5 stars"
"CCK","Crown Holdings Inc","Domestic","Materials","Containers & Packaging","Metal & Glass Containers","3 stars"
"CCL","Carnival Corp","Domestic","Consumer Discretionary","Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines","5 stars"
"CCOI","Cogent Communications Holdings Inc","Domestic","Communication Services","Diversified Telecommunication Services","Alternative Carriers","2 stars"
"CDAY","Ceridian HCM Holding Inc","Domestic","Information Technology","Software","Application Software","2 stars"
"CDNS","Cadence Design Systems Inc","Domestic","Information Technology","Software","Application Software","2 stars"
"CE","Celanese Corp","Domestic","Materials","Chemicals","Specialty Chemicals","4 stars"
"CEO","CNOOC Ltd","International (ADR)","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Exploration & Production","4 stars"
"CERN","Cerner Corp","Domestic","Health Care","Health Care Technology","Health Care Technology","3 stars"
"CF","CF Industries Holdings Inc","Domestic","Materials","Chemicals","Fertilizers & Agricultural Chemicals","4 stars"
"CFR","Cullen/Frost Bankers Inc","Domestic","Financials","Banks","Regional Banks","5 stars"
"CFX","Colfax Corp","Domestic","Industrials","Machinery","Industrial Machinery","5 stars"
"CGC","Canopy Growth Corp","International (ADR)","Health Care","Pharmaceuticals","Pharmaceuticals","5 stars"
"CHA","China Telecom Corp Ltd","International (ADR)","Communication Services","Diversified Telecommunication Services","Integrated Telecommunication Services","4 stars"
"CHD","Church & Dwight Co Inc","Domestic","Consumer Staples","Household Products","Household Products","1 star"
"CHH","Choice Hotels International Inc","Domestic","Consumer Discretionary","Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines","3 stars"
"CHKP","Check Point Software Technologies Ltd","International (ADR)","Information Technology","Software","Systems Software","4 stars"
"CHL","China Mobile Ltd","International (ADR)","Communication Services","Wireless Telecommunication Services","Wireless Telecommunication Services","5 stars"
"CHRW","C.H. Robinson Worldwide Inc","Domestic","Industrials","Air Freight & Logistics","Air Freight & Logistics","4 stars"
"CHTR","Charter Communications Inc","Domestic","Communication Services","Media","Cable & Satellite","2 stars"
"CHU","China Unicom Hong Kong Ltd","International (ADR)","Communication Services","Diversified Telecommunication Services","Integrated Telecommunication Services","5 stars"
"CI","Cigna Corp","Domestic","Health Care","Health Care Providers & Services","Health Care Services","4 stars"
"CL","Colgate-Palmolive Co","Domestic","Consumer Staples","Household Products","Household Products","3 stars"
"CLB","Core Laboratories NV","International (ADR)","Energy","Energy Equipment & Services","Oil & Gas Equipment & Services","5 stars"
"CLR","Continental Resources Inc","Domestic","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Exploration & Production","5 stars"
"CLX","Clorox Co","Domestic","Consumer Staples","Household Products","Household Products","2 stars"
"CM","Canadian Imperial Bank of Commerce","International (ADR)","Financials","Banks","Diversified Banks","4 stars"
"CMA","Comerica Inc","Domestic","Financials","Banks","Regional Banks","5 stars"
"CMC","Commercial Metals Co","Domestic","Materials","Metals & Mining","Steel","4 stars"
"CMCSA","Comcast Corp","Domestic","Communication Services","Media","Cable & Satellite","4 stars"
"CMD","Cantel Medical Corp","Domestic","Health Care","Health Care Equipment & Supplies","Health Care Equipment","5 stars"
"CME","CME Group Inc","Domestic","Financials","Capital Markets","Financial Exchanges & Data","2 stars"
"CMG","Chipotle Mexican Grill Inc","Domestic","Consumer Discretionary","Hotels, Restaurants & Leisure","Restaurants","3 stars"
"CMI","Cummins Inc","Domestic","Industrials","Machinery","Construction Machinery & Heavy Trucks","4 stars"
"CMP","Compass Minerals International Inc","Domestic","Materials","Metals & Mining","Diversified Metals & Mining","4 stars"
"CMPGY","Compass Group PLC","International (ADR)","Consumer Discretionary","Hotels, Restaurants & Leisure","Restaurants","4 stars"
"CMS","CMS Energy Corp","Domestic","Utilities","Multi-Utilities","Multi-Utilities","1 star"
"CNHI","CNH Industrial NV","International (ADR)","Industrials","Machinery","Agricultural & Farm Machinery","4 stars"
"CNI","Canadian National Railway Co","International (ADR)","Industrials","Road & Rail","Railroads","4 stars"
"CNP","CenterPoint Energy Inc","Domestic","Utilities","Multi-Utilities","Multi-Utilities","5 stars"
"CNS","Cohen & Steers Inc","Domestic","Financials","Capital Markets","Asset Management & Custody Banks","3 stars"
"CNVVY","ConvaTec Group PLC","International (ADR)","Health Care","Health Care Equipment & Supplies","Health Care Supplies","4 stars"
"COF","Capital One Financial Corp","Domestic","Financials","Consumer Finance","Consumer Finance","5 stars"
"COG","Cabot Oil & Gas Corp","Domestic","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Exploration & Production","3 stars"
"CONE","CyrusOne Inc","Domestic","Real Estate","Equity Real Estate Investment Trusts (REITs)","Specialized REITs","3 stars"
"COO","Cooper Companies Inc","Domestic","Health Care","Health Care Equipment & Supplies","Health Care Supplies","3 stars"
"COP","ConocoPhillips","Domestic","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Exploration & Production","5 stars"
